Date,Symbol,Headline,Summary,Link,Source
2026-03-13,COMB.N0000,SRI LANKA COMMERCIAL BANKS EXHAUST MSME LOAN QUOTAS; MINISTRY TO ALLOCATE NEW FUNDS,"COMMERCIAL BANK, HNB, AND NDB HAVE EXHAUSTED THEIR LOAN QUOTAS, MINISTER SAID
",https://economynext.com/sri-lanka-commercial-banks-exhaust-msme-loan-quotas-ministry-to-allocate-new-funds-263835/,Alt_News
2026-03-13,DFCC.N0000,DFCC BANK’S PIONEERING BLUE BOND GAINS GLOBAL RECOGNITION WITH MULTIPLE INTERNATIONAL LISTINGS,DFCC BANK PLC HAS ACHIEVED ANOTHER SIGNIFICANT MILESTONE IN SRI LANKA’S SUSTAINABLE FINANCE JOURNEY WITH THE SUPPLEMENTARY INTERNATIONAL LISTING OF ITS PIONEERING BLUE BOND ON THE LUXEMBOURG STOCK EXC,http://bizenglish.adaderana.lk/dfcc-banks-pioneering-blue-bond-gains-global-recognition-with-multiple-international-listings/,Alt_News
2026-03-13,DFCC.N0000,"WHEN THE LEOPARD MOVES, THE FOREST BREATHES","~AN EVENING AT DFCC BANK TURNS ATTENTION TO THE FRAGILE BALANCE OF SRI LANKA’S WILDERNESS~ THE SRI LANKAN LEOPARD RARELY ANNOUNCES ITSELF. IT MOVES THROUGH FORESTS QUIETLY, A SHADOW BETWEEN TREES, A F",http://bizenglish.adaderana.lk/when-the-leopard-moves-the-forest-breathes/,Alt_News
2026-03-13,DIAL.N0000,DIALOG INTRODUCES OSCAL TIGER 8 5G TO EXPAND AFFORDABLE 5G ACCESS IN SRI LANKA,"DIALOG AXIATA PLC, SRI LANKA’S #1 CONNECTIVITY PROVIDER, ANNOUNCED THE INTRODUCTION OF THE OSCAL TIGER 8 5G, FURTHER EXPANDING ACCESS TO NEXT-GENERATION MOBILE CONNECTIVITY ACROSS THE COUNTRY. POSITIO",http://bizenglish.adaderana.lk/dialog-introduces-oscal-tiger-8-5g-to-expand-affordable-5g-access-in-sri-lanka/,Alt_News
2026-03-13,JKH.N0000,SRI LANKA’S JOHN KEELLS SELLS CINNAMON CITADEL FOR RS2.7BN,"JOHN KEELLS HOTELS WILL MAINTAIN ITS CURRENT BRANDING AND MANAGEMENT FOR AT LEAST ONE YEAR 
",https://economynext.com/sri-lankas-john-keells-sells-cinnamon-citadel-for-rs2-7bn-263839/,Alt_News
2026-03-13,JKH.N0000,JOHN KEELLS HOTELS PLC TO DIVEST CINNAMON CITADEL IN RS. 2.77 BILLION DEAL WITH DEDIGAMA GROUP,"JOHN KEELLS HOTELS PLC HAS ENTERED INTO AN AGREEMENT TO DIVEST ITS CONTROLLING STAKE IN THE COMPANY THAT OWNS THE WELL-KNOWN CINNAMON CITADEL IN KANDY. IN A DISCLOSURE TO THE COLOMBO STOCK EXCHANGE, J",http://bizenglish.adaderana.lk/john-keells-hotels-plc-to-divest-cinnamon-citadel-in-rs-2-77-billion-deal-with-dedigama-group/,Alt_News
2026-03-13,KHL.N0000,SRI LANKA’S JOHN KEELLS SELLS CINNAMON CITADEL FOR RS2.7BN,"JOHN KEELLS HOTELS WILL MAINTAIN ITS CURRENT BRANDING AND MANAGEMENT FOR AT LEAST ONE YEAR 
",https://economynext.com/sri-lankas-john-keells-sells-cinnamon-citadel-for-rs2-7bn-263839/,Alt_News
2026-03-13,KHL.N0000,JOHN KEELLS HOTELS PLC TO DIVEST CINNAMON CITADEL IN RS. 2.77 BILLION DEAL WITH DEDIGAMA GROUP,"JOHN KEELLS HOTELS PLC HAS ENTERED INTO AN AGREEMENT TO DIVEST ITS CONTROLLING STAKE IN THE COMPANY THAT OWNS THE WELL-KNOWN CINNAMON CITADEL IN KANDY. IN A DISCLOSURE TO THE COLOMBO STOCK EXCHANGE, J",http://bizenglish.adaderana.lk/john-keells-hotels-plc-to-divest-cinnamon-citadel-in-rs-2-77-billion-deal-with-dedigama-group/,Alt_News
2026-03-13,NDB.N0000,NDB RAISES SRI LANKA’S LARGEST BASEL III-COMPLIANT THEMATIC BOND,NATIONAL DEVELOPMENT BANK PLC (NDB/ THE BANK) RECENTLY ANNOUNCED THAT IT SUCCESSFULLY RAISED LKR 16.0 BILLION THROUGH THE ISSUANCE OF BASEL III-COMPLIANT TIER II RATED UNSECURED SUBORDINATED REDEEMABL,http://bizenglish.adaderana.lk/ndb-raises-sri-lankas-largest-basel-iii-compliant-thematic-bond/,Alt_News
2026-03-13,SAMP.N0000,SAMPATH BANK AND APARTNER BRING DIGITAL PAYMENTS TO SRI LANKA’S GROWING CONDOMINIUM SECTOR,"SRI LANKA’S CONDOMINIUM LANDSCAPE CONTINUES TO EXPAND AT PACE, RESHAPING URBAN LIVING ACROSS THE COUNTRY, YET MANY RESIDENTIAL COMMUNITIES STILL RELY ON MANUAL PAYMENT METHODS THAT SLOW DOWN COLLECTIO",http://bizenglish.adaderana.lk/sampath-bank-and-apartner-bring-digital-payments-to-sri-lankas-growing-condominium-sector/,Alt_News
2026-03-12,JKH.N0000,JOHN KEELLS LOGISTICS EXPANDS STRATEGIC ENGAGEMENT WITH CWIT THROUGH INTER-TERMINAL TRANSPORT OPERATIONS,"JOHN KEELLS LOGISTICS (PVT) LTD (JKLL), ONE OF SRI LANKA’S LEADING THIRD-PARTY LOGISTICS SOLUTIONS PROVIDERS, HAS SUCCESSFULLY EXPANDED ITS OPERATIONAL ENGAGEMENT WITH COLOMBO WEST INTERNATIONAL TERMI",http://bizenglish.adaderana.lk/john-keells-logistics-expands-strategic-engagement-with-cwit-through-inter-terminal-transport-operations/,Alt_News
2026-03-11,DFCC.N0000,SRI LANKA’S DFCC BANK TO LIST BLUE BOND ON LUXEMBOURG EXCHANGE,"THE BOND WAS ALSO LISTED ON THE INDIA INTERNATIONAL EXCHANGE (IFSC) LIMITED (INDIA INX), GIFT CITY, INDIA ON MARCH 10.
",https://economynext.com/sri-lankas-dfcc-bank-to-list-blue-bond-on-luxembourg-exchange-263738/,Alt_News
2026-03-11,HAYL.N0000,HAYLEYS MOBILITY AND KAIYI AUTO INTRODUCE THE AFFORDABLE AND FULLY ELECTRIC KAIYI EVIBE TO SRI LANKA,"AVAILABLE IN A RANGE OF COLOURS, WITH CUSTOMISABLE OPTIONS TO SUIT INDIVIDUAL PREFERENCES COMPLIMENTARY 3KW SOLAR SYSTEM FOR THE FIRST 100 CUSTOMERS HAYLEYS MOBILITY LIMITED, THE MOBILITY ARM OF HAYLE",http://bizenglish.adaderana.lk/hayleys-mobility-and-kaiyi-auto-introduce-the-affordable-and-fully-electric-kaiyi-evibe-to-sri-lanka/,Alt_News
2026-03-11,JKH.N0000,"SRI LANKANS EYE EVS AND HYBRIDS AMID RISING FUEL COSTS, BYD’S LOCAL AGENT SAYS","BYD SEALION 8, A HYBRID 7-SEATER SUV, LAUNCHED IN COLOMBO BY JOHN KEELLS CG AUTO
",https://economynext.com/sri-lankans-eye-evs-and-hybrids-amid-rising-fuel-costs-byds-local-agent-says-263643/,Alt_News
2026-03-11,JKH.N0000,BYD’S SEVEN-SEATER SUV BYD SEALION 8 MAKES ITS SOUTH ASIAN DEBUT IN SRI LANKA,"SRI LANKA’S MOST POPULAR NEV BRAND, BYD, IN PARTNERSHIP WITH ITS AUTHORISED DISTRIBUTOR JOHN KEELLS CG AUTO (JKCG AUTO), OFFICIALLY LAUNCHED THE BYD SEALION 8 ON MARCH 10TH 2026. UNVEILED AT A SPECIAL",http://bizenglish.adaderana.lk/byds-seven-seater-suv-byd-sealion-8-makes-its-south-asian-debut-in-sri-lanka/,Alt_News
2026-03-10,COMB.N0000,COMBANK PARTNERS IDEAL MOTORS TO OFFER SPECIAL LEASING PACKAGES FOR MAHINDRA XUV 3XO,"DRIVEN BY ITS COMMITMENT TO ENHANCING CUSTOMER LIFESTYLES AND MAKING QUALITY MOBILITY SOLUTIONS MORE ACCESSIBLE, THE COMMERCIAL BANK OF CEYLON HAS ENTERED INTO A STRATEGIC PARTNERSHIP WITH IDEAL MOTOR",http://bizenglish.adaderana.lk/combank-partners-ideal-motors-to-offer-special-leasing-packages-for-mahindra-xuv-3xo/,Alt_News
